b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct;party_granular;party_simple;birth_date;start_date;tenure;death_date;name_in_elec_combined;turnout;vote_share;soc_share;soc_dum;dsle;vote_share_nc;re;dugobo;fogobo;duprbo;foprbo;dush;fosh;cash;misc;debt;ta11;tl11;nw11;ta0;tl0;nw0;w_deflated;wealth_defl;defw_rb;expected_inheritance_rough;expected_inheritance;father_politician;deflated_eh;amount_of_strikes
00968;Nierstrasz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nierstrasz;fiscal;Delft;12612;12518;2356;0,458851779087535;0,4554242533570220;0,08571351357741686;223825;6165;15251;31689;3503;74238;0,28958238143105181;3,20113314447592e-02;0,67840628712418893;protestant;confessional;1824-04-20;1868-02-25;1528;1878-12-09;J.L. Nierstrasz;0,736226415094340;0,5459290187891440;0;0;1059;0,37421711899791232;100,000;0,000;9022,0000;598,000;0,000;1225,000;0,000;203,000;4163,000;-6820,43000;15312,4300;-6820,4300;8491,990;15312,430;-4411,6600;10900,7600;7503,614210870044;4593,5279856835368;10483,630153710015;NA;NA;0;NA;4
00578;Heydenrijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heydenrijck;fiscal;Nijmegen;13594;8636;7991;0,449819661824559;0,2857573032244631;0,26441234586443557;150547;5276;7162;84760;121;18061;0,82337627013269621;1,17541916807523e-03;0,17544831069922870;liberal;liberal;1832-01-13;1862-07-09;3585;1911-09-06;mr. C.J.A. Heydenrijck;0,796104434314132;0,6805702217529039;0;0;1059;0,31942977824709612;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
01509;van Wassenaer van Catwijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wassenaer van Catwijck;fiscal;Leiden;13055;18243;3798;0,371979712787782;0,5197973172425127;0,10821471098149175;231177;4868;10095;32235;6876;67172;0,30329403573478353;6,46952005494764e-02;0,63201076371574005;protestant;confessional;1823-12-26;1866-09-21;2050;1887-11-19;O. baron van Wassenaer van Catwijck;0,690176322418136;0,6341077085533263;0;0;324;0,36589229144667373;404174,000;17175,000;98453,0000;278915,330;30010,000;10700,000;0,000;41455,700;94424,000;-360776,46000;322877,6500;-97907,3300;244970,330;490523,740;-25237,2000;465286,5400;442366,020873735310;211870,2148020402819;423150,125854028622;NA;NA;1;NA;1
00646;Jonckbloet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jonckbloet;fiscal;Winschoten;10327;7298;5365;0,449195302305350;0,3174361639480806;0,23335454993733035;55402;1338;2522;4113;3995;30244;0,10724342928660828;1,04166666666667e-01;0,78858990404672491;liberal;liberal;1817-07-06;1864-09-19;2782;1885-10-19;dr. W.J.A. Jonckbloet;0,391159299416180;0,7880794701986755;0;0;1059;0,21192052980132448;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
01334;van Sypesteyn;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Sypesteyn;fiscal;'s-Gravenhage;18119;37326;3451;0,307643982613420;0,6337578957517818;0,05859387461994655;486360;1189;4526;36721;1250;62172;0,36668563953546435;1,24821505247496e-02;0,62083220993978605;protestant;confessional;1823-03-19;1867-09-19;1687;1892-09-24;jhr. C.A. van Sypesteyn;0,659940944881890;0,6180555555555556;0;0;1059;0,38194444444444442;0,000;0,000;0,0000;3342,000;0,000;3135,000;0,000;271,000;3155,000;-5471,67000;10596,4500;-5471,6700;4766,430;10708,950;-5830,0200;4878,9300;4642,145820560362;1366,9993310464240;3917,956258494053;NA;NA;0;NA;4
01339;Tak van Poortvliet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Tak van Poortvliet;fiscal;Middelburg;3592;7107;546;0,319430858159182;0,6319962757569837;0,04855080546432261;179721;11808;16126;31729;1812;55500;0,35634146067541916;2,03501757617277e-02;0,62330836356285302;liberal;liberal;1839-06-21;1865-03-15;2605;1904-01-26;mr. J.P.R. Tak van Poortvliet;0,620199146514936;0,5468384074941453;0;0;324;0,23829039812646369;1242441,150;26287,000;66656,0000;52449,000;18325,000;97607,000;5,000;4215,000;39269,000;-24413,13000;1539805,2600;-24413,1300;1515392,130;1539800,280;-24413,1300;1515387,1300;1368528,360529221362;219539,7608638087113;208334,787529392663;NA;NA;NA;NA;0
01121;Rombach;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rombach;fiscal;Brielle;0;0;0;NA;NA;NA;34890;2279;4250;1093;633;17905;0,05567724517345015;3,22449187509551e-02;0,91207783607559467;liberal;liberal;1812-05-24;1869-09-21;954;1891-04-24;dr. K.A. Rombach;0,542301184433164;0,8898163606010017;0;0;324;0,05509181969949917;2383,000;53324,000;134259,0000;45986,000;32008,000;908,000;36416,000;3178,000;6714,000;-974,66000;318134,8500;-974,6600;317159,390;318134,050;-974,6600;317159,3900;300778,478073659120;96092,8752881079563;82205,433822089049;454265,66;90853,131999999998;0;90853,1319999999978;0
01148;Rutgers van Rozenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rutgers van Rozenburg;fiscal;Haarlemmermeer;7778;5167;4785;0,438691483361534;0,2914197493873582;0,26987044357347773;52093;850;3233;10766;1228;15234;0,39540179227266048;4,51006317026590e-02;0,55949757602468042;liberal;liberal;1830-08-10;1869-09-21;954;1902-10-31;jhr.mr. J.W.H. Rutgers van Rozenburg;0,661742983751846;0,5481651376146789;0;0;324;0,26720183486238530;497152,000;11003,000;143154,0000;198358,000;0,000;145724,000;0,000;17285,000;28227,000;-2761,00000;936347,2550;-3789,9850;932557,270;936372,255;-3789,9850;932582,2700;844663,366298687761;193303,8104649070010;152588,527163612307;NA;NA;0;NA;0
00232;de BruynKops;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bruijn Kops;fiscal;Alkmaar;8752;13420;2626;0,352931688039358;0,5411649732128598;0,10589181879499804;192005;4620;17879;34155;1466;63147;0,34581038393001784;1,48428640855338e-02;0,63934675198444846;liberal;liberal;1822-12-22;1868-02-25;1528;1887-10-01;mr. J.L. de Bruyn Kops;0,701710730948678;0,5618279569892473;0;0;324;0,43817204301075274;26000,000;0,000;421,6000;1054,000;4,000;34242,800;0,000;2975,530;4330,180;-41805,81000;69038,2600;-41805,8100;27232,450;69038,260;-41805,8100;27232,4500;25890,950005007569;8506,3013136766167;35404,764384708222;149077,16;149077,160000000003;1;149077,1600000000035;1
01527;Westerhoff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Westerhoff;fiscal;Appingedam;27626;16315;19462;0,435720707222056;0,2573204403601682;0,30695372882096311;181239;7554;10258;4713;10675;88014;0,04557938918009323;1,03237848397516e-01;0,85118276242239044;liberal;liberal;1801-03-14;1849-02-13;8479;1874-03-25;dr. R. Westerhoff;0,486052998605300;0,7067833698030634;0;0;1059;0,29321663019693656;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2
