district,gemeentenaam,year,belong_to_district
Groningen,Adorp,1848,1
Groningen,Adorp,1850,0
Groningen,Adorp,1888,0
Groningen,Adorp,1897,0
Groningen,Bedum,1848,0
Groningen,Bedum,1850,0
Groningen,Bedum,1888,1
Groningen,Bedum,1897,0
Groningen,Groningen,1848,1
Groningen,Groningen,1850,1
Groningen,Groningen,1888,1
Groningen,Groningen,1897,1
Groningen,"Haren
Haren",1848,1
Groningen,"Haren
Haren",1850,1
Groningen,"Haren
Haren",1888,1
Groningen,"Haren
Haren",1897,0
Groningen,Hoogezand,1848,1
Groningen,Hoogezand,1850,1
Groningen,Hoogezand,1888,1
Groningen,Hoogezand,1897,0
Groningen,Hoogkerk,1848,1
Groningen,Hoogkerk,1850,0
Groningen,Hoogkerk,1888,0
Groningen,Hoogkerk,1897,0
Groningen,Noorddijk,1848,1
Groningen,Noorddijk,1850,0
Groningen,Noorddijk,1888,1
Groningen,Noorddijk,1897,0
Groningen,Sappemeer,1848,0
Groningen,Sappemeer,1850,1
Groningen,Sappemeer,1888,0
Groningen,Sappemeer,1897,0
Groningen,Slochteren,1848,0
Groningen,Slochteren,1850,0
Groningen,Slochteren,1888,1
Groningen,Slochteren,1897,0
Groningen,Ten Boer,1848,0
Groningen,Ten Boer,1850,0
Groningen,Ten Boer,1888,1
Groningen,Ten Boer,1897,0
Onderdendam,Aduard,1848,1
Onderdendam,Aduard,1850,0
Onderdendam,Aduard,1888,0
Onderdendam,Aduard,1897,0
Onderdendam,Baflo,1848,1
Onderdendam,Baflo,1850,0
Onderdendam,Baflo,1888,0
Onderdendam,Baflo,1897,0
Onderdendam,Bedum,1848,1
Onderdendam,Bedum,1850,0
Onderdendam,Bedum,1888,0
Onderdendam,Bedum,1897,0
Onderdendam,Eenrum,1848,1
Onderdendam,Eenrum,1850,0
Onderdendam,Eenrum,1888,0
Onderdendam,Eenrum,1897,0
Onderdendam,Ezinge,1848,1
Onderdendam,Ezinge,1850,0
Onderdendam,Ezinge,1888,0
Onderdendam,Ezinge,1897,0
Onderdendam,Grijpskerk,1848,1
Onderdendam,Grijpskerk,1850,0
Onderdendam,Grijpskerk,1888,0
Onderdendam,Grijpskerk,1897,0
Onderdendam,Grootegast,1848,1
Onderdendam,Grootegast,1850,0
Onderdendam,Grootegast,1888,0
Onderdendam,Grootegast,1897,0
Onderdendam,Kantens,1848,1
Onderdendam,Kantens,1850,0
Onderdendam,Kantens,1888,0
Onderdendam,Kantens,1897,0
Onderdendam,Kloosterburen,1848,1
Onderdendam,Kloosterburen,1850,0
Onderdendam,Kloosterburen,1888,0
Onderdendam,Kloosterburen,1897,0
Onderdendam,Leek,1848,1
Onderdendam,Leek,1850,0
Onderdendam,Leek,1888,0
Onderdendam,Leek,1897,0
Onderdendam,Leens,1848,1
Onderdendam,Leens,1850,0
Onderdendam,Leens,1888,0
Onderdendam,Leens,1897,0
Onderdendam,Marum,1848,1
Onderdendam,Marum,1850,0
Onderdendam,Marum,1888,0
Onderdendam,Marum,1897,0
Onderdendam,Middelstum,1848,1
Onderdendam,Middelstum,1850,0
Onderdendam,Middelstum,1888,0
Onderdendam,Middelstum,1897,0
Onderdendam,Oldehove,1848,1
Onderdendam,Oldehove,1850,0
