name_elections;amco;name_hdng
Adorp;10996;ADORP
Bedum;10425;BEDUM
Groningen;10426;GRONINGEN
"Haren
Haren";11058;HAREN GR
Hoogezand;10410;HOOGEZAND
Hoogkerk;10953;HOOGKERK
Noorddijk;10979;NOORDDIJK
Sappemeer;10080;SAPPEMEER
Slochteren;10747;SLOCHTEREN
Ten Boer;10891;TEN BOER
Aduard;10999;ADUARD
Baflo;10539;BAFLO
Eenrum;10904;EENRUM
Ezinge;10136;EZINGE
Grijpskerk;10244;GRIJPSKERK
Grootegast;11080;GROOTEGAST
Kantens;10372;KANTENS
Kloosterburen;10628;KLOOSTERBUREN
Leek;10604;LEEK
Leens;11050;LEENS
Marum;11431;MARUM
Middelstum;11199;MIDDELSTUM
Oldehove;10298;OLDEHOVE
Oldekerk;11332;OLDEKERK
Ulrum;10180;ULRUM
Usquert;11035;USQUERT
Warffum;10498;WARFFUM
Winsum;11135;WINSUM
Zuidhorn;10021;ZUIDHORN
't Zandt;10956;'T ZANDT
Appingedam;10886;APPINGEDAM
Beerta;11043;BEERTA
Bellingwolde;10340;BELLINGWOLDE
Bierum;11294;BIERUM
Delfzijl;10976;DELFZIJL
Finsterwolde;10212;FINSTERWOLDE
Loppersum;10934;LOPPERSUM
Meeden;10304;MEEDEN
Midwolde;10356;MIDWOLDA
Muntendam;10550;MUNTENDAM
Nieuwe-Pekela;10950;NIEUWE PEKELA
Nieuwe-Schans;10008;NIEUWESCHANS
Nieuwolda;10126;NIEUWOLDA
Noordbroek;10814;NOORDBROEK
Oude-Pekela;10848;OUDE PEKELA
Scheemda;10711;SCHEEMDA
Stedum;10771;STEDUM
Midwolda;10356;MIDWOLDA
Onstwedde;10610;ONSTWEDDE
Termunten;11023;TERMUNTEN
Veendam;11292;VEENDAM
Vlagtwedde;11249;VLAGTWEDDE
Wedde;10247;WEDDE
Wildervank;10825;WILDERVANK
Winschoten;10453;WINSCHOTEN
Zuidbroek;11282;ZUIDBROEK
Barradeel;10156;BARRADEEL
Bildt ('t);10128;HET BILDT F
Bolsward;10865;BOLSWARD
Franeker;11226;FRANEKER
Franekeradeel;10404;FRANEKERADEEL
Harlingen;10909;HARLINGEN
Idaarderadeel;10815;IDAARDERADEEL
Leeuwarden;11228;LEEUWARDEN
Leeuwarderadeel;10851;LEEUWARDERADEEL
Menaldumadeel;11144;MENALDUMADEEL
Tietjerksteradeel;11241;TIETJERKSTERADEEL
Wonseradeel;10454;WONSERADEEL
Achtkarspelen;10199;ACHTKARSPELEN
Ameland;11153;AMELAND
Dantumadeel;10650;DANTUMADEEL
Dokkum;10198;DOKKUM
Ferwerderadeel;11284;FERWERDERADEEL
Kollumerland;10984;KOLLUMERLAND EN NIEUWKRUISLAND
Oostdongeradeel;11102;OOSTDONGERADEEL
Schiermonnikoog;10355;SCHIERMONNIKOOG
Westdongeradeel;10129;WESTDONGERADEEL
Aengwirden;10157;AENGWIRDEN
Heerenveen;10680;HEERENVEEN
Ooststellingwerf;10836;OOSTSTELLINGWERF
Opsterland;10005;OPSTERLAND
Schoterland;10680;SCHOTERLAND
Smallingerland;10405;SMALLINGERLAND
Utingeradeel;10140;UTINGERADEEL
Weststellingwerf;11322;WESTSTELLINGWERF
Baarderadeel;10422;BAARDERADEEL
Doniawerstal;10086;DONIAWERSTAL
Gaasterland;10036;GAASTERLAND
Haskerland;10022;HASKERLAND
Hemelumer Oldephaert;10334;HEMELUMER OLDEFERD
Hennaarderadeel;10877;HENNAARDERADEEL
Hindeloopen;10672;HINDELOOPEN
Lemsterland;10142;LEMSTERLAND
Rauwerderhem;10330;RAUWERDERHEM
Sloten;10867;SLOTEN
Sneek;11421;SNEEK
Stavoren;10240;STAVOREN
Wijmbritseradeel;11427;WYMBRITSERADEEL
Workum;10768;WORKUM
Ylst;11062;IJLST
Anlo;10787;ANLOO
Assen;10522;ASSEN
Beilen;10520;BEILEN
Borger;10448;BORGER
Coevorden;10383;COEVORDEN
Dalen;11004;DALEN
De Wijk;10753;DE WIJK D
Diever;10418;DIEVER
Dwingelo;10331;DWINGELOO
Eelde;10622;EELDE
Emmen;11180;EMMEN
Gasselte;11099;GASSELTE
Gieten;10506;GIETEN
Havelte;10186;HAVELTE
Hoogeveen;10839;HOOGEVEEN
Meppel;11204;MEPPEL
Nijeveen;10774;NIJEVEEN
Norg;10608;NORG
Odoorn;11320;ODOORN
Oosterhesselen;10490;OOSTERHESSELEN
Peize;10501;PEIZE
Roden;10699;RODEN
Rolde;10470;ROLDE
Ruinen;10629;RUINEN
Ruinerwold;10944;RUINERWOLD
Sleen;10489;SLEEN
Zuidwolde;10262;ZUIDWOLDE
Zweelo;10872;ZWEELOO
Avereest;11190;AVEREEST
Dalfsen;11007;DALFSEN
Doornspijk;10069;DOORNSPIJK
Elburg;11113;ELBURG
Genemuiden;10746;GENEMUIDEN
Grafhorst;10224;GRAFHORST
Hasselt;10115;HASSELT
Hattem;10673;HATTEM
Heerde;10291;HEERDE
Heino;10854;HEINO
Hellendoorn;10806;HELLENDOORN
Kampen;10253;KAMPEN
Kamperveen;10443;KAMPERVEEN
Nieuwleusen;10384;NIEUWLEUSEN
Oldebroek;11106;OLDEBROEK
Olst;10409;OLST
Raalte;10279;RAALTE
Schokland;11189;SCHOKLAND
Staphorst;11362;STAPHORST
Wijhe;10888;WIJHE
Wilsum;11135;WINSUM
Ysselmuiden;10641;IJSSELMUIDEN
Zalk en Veecaten;10633;ZALK EN VEECATEN
Zwolle;10093;ZWOLLE
Zwollerkerspel;10654;ZWOLLERKERSPEL
Blankenham;10320;BLANKENHAM
Blokzijl;10689;BLOKZIJL
Giethoorn;10708;GIETHOORN
Kuinre;11148;KUINRE
Oldemarkt;10858;OLDEMARKT
Steenwijk;10546;STEENWIJK
Steenwijkerwold;11347;STEENWIJKERWOLD
Vollenhove (Ambt-);11088;AMBT-VOLLENHOVE
Vollenhove (Stad-);11183;STAD-VOLLENHOVE
Wanneperveen;10105;WANNEPERVEEN
Zwartsluis;10303;ZWARTSLUIS
Bathmen;11030;BATHMEN
Deventer;10899;DEVENTER
Diepenveen;10933;DIEPENVEEN
Epe;10940;EPE
Gorssel;10085;GORSSEL
Holten;11246;HOLTEN
Markelo;11382;MARKELO
Voorst;10912;VOORST
Almelo (Ambt-);11065;AMBT-ALMELO
Almelo (Stad-);11053;STAD-ALMELO
Borne;10326;BORNE
Delden (Ambt-);11400;AMBT DELDEN
Delden (Stad-);10913;STAD DELDEN
Denekamp;10245;DENEKAMP
Enschede;10364;ENSCHEDE
Goor;10076;GOOR
Gramsbergen;11339;GRAMSBERGEN
Haaksbergen;11435;HAAKSBERGEN
Ham (Den);10395;DEN HAM
Hardenberg (Ambt-);10174;AMBT-HARDENBERG
Hardenberg (Stad-);11169;STAD-HARDENBERG
Hengelo;10907;HENGELO O
Lonneker;11045;LONNEKER
Losser;11166;LOSSER
Oldenzaal;11100;OLDENZAAL
Ommen (Ambt-);11069;AMBT-OMMEN
Ommen (Stad-);10381;STAD-OMMEN
Ootmarsum;11079;OOTMARSUM
Rijssen;10358;RIJSSEN
Tubbergen;10694;TUBBERGEN
Vriezenveen;10643;VRIEZENVEEN
Weerselo;10893;WEERSELO
Wierden;10676;WIERDEN
Diepenheim;10311;DIEPENHEIM
Apeldoorn;11075;APELDOORN
Arnhem;10795;ARNHEM
Barneveld;10906;BARNEVELD
Brummen;10798;BRUMMEN
Doorwerth;11304;DOORWERTH
Ede;10743;EDE
Ermelo;10732;ERMELO
Harderwijk;10786;HARDERWIJK
Hemmen;11162;HEMMEN
Heteren;10290;HETEREN
Nijkerk;10446;NIJKERK
Putten;11109;PUTTEN
Renkum;11325;RENKUM
Rheden;11355;RHEDEN
Rozendaal;10684;ROZENDAAL
Wageningen;11010;WAGENINGEN
Hoevelaken;11358;HOEVELAKEN
Scherpenzeel;11146;SCHERPENZEEL
Aalten;11046;AALTEN
Borculo;11307;BORCULO
Dinxperlo;11154;DINXPERLO
Doesburg;10327;DOESBURG
Doetinchem (Ambt-);10396;AMBT-DOETINCHEM
Doetinchem (Stad-);10603;STAD-DOETINCHEM
Eibergen;10436;EIBERGEN
Groenlo;11094;GROENLO
Hummelo;11235;HUMMELO EN KEPPEL
Laren;10649;LAREN
Lichtenvoorde;10242;LICHTENVOORDE
Lochem;11263;LOCHEM
Neede;10367;NEEDE
Ruurlo;10879;RUURLO
Steenderen;10497;STEENDEREN
Verwolde;10275;VERWOLDE
Vorden;10957;VORDEN
Warnsveld;10838;WARNSVELD
Winterswijk;11119;WINTERSWIJK
Wisch;10318;WISCH
Zelhem;11159;ZELHEM
Zutphen;10254;ZUTPHEN
Angerlo;11131;ANGERLO
Bergh;10350;BERGH
Didam;10153;DIDAM
Duiven;11028;DUIVEN
Gendringen;10260;GENDRINGEN
Herwen;10819;HERWEN EN AERDT
Pannerden;10518;PANNERDEN
Wehl;11116;WEHL
Westervoort;11085;WESTERVOORT
Zevenaar;10938;ZEVENAAR
Bemmel;10744;BEMMEL
Beuningen;10417;BEUNINGEN
Dodewaard;10647;DODEWAARD
Echteld;10832;ECHTELD
Elst;11188;ELST
Ewijk;10471;EWIJK
Gent;10440;GENDT
Huissen;11047;HUISSEN
Kesteren;10916;KESTEREN
Lienden;11093;LIENDEN
Loenen;11202;LOENEN
Maurik;10300;MAURIK
Tiel;10027;TIEL
Valburg;11071;VALBURG
Wamel;10042;WAMEL
Yzendoorn;11430;IJZENDOORN
Appeltern;11296;APPELTERN
Balgoij;10849;BALGOIJ
Batenburg;10921;BATENBURG
Bergharen;10883;BERGHAREN
Druten;10068;DRUTEN
Groesbeek;10616;GROESBEEK
Herwen en Aerdt;10819;HERWEN EN AERDT
Heumen;10600;HEUMEN
Horssen;10607;HORSSEN
Millingen;10072;MILLINGEN AAN DE RIJN
Nijmegen;11209;NIJMEGEN
Overasselt;10952;OVERASSELT
Ammerzoden;10151;AMMERZODEN
Beesd;10259;BEESD
Beusichem;11182;BEUSICHEM
Brakel;11125;BRAKEL
Buren;11286;BUREN
Buurmalsen;10460;BUURMALSEN
Culemborg;10342;CULEMBORG
Deil;10057;DEIL
Dreumel;11232;DREUMEL
Driel;10341;DRIEL
Est en Opijnen;11092;EST EN OPIJNEN
Gameren;10037;GAMEREN
Geldermalsen;10881;GELDERMALSEN
Haaften;10125;HAAFTEN
Hedel;10982;HEDEL
Heerewaarden;10067;HEEREWAARDEN
Herwijnen;11266;HERWIJNEN
Hurwenen;11432;HURWENEN
Kerkwijk;10791;KERKWIJK
Nederhemert;10310;NEDERHEMERT
Ophemert;10829;OPHEMERT
Poederoijen;10135;POEDEROIJEN
Rossum;10860;ROSSUM
Varik;11064;VARIK
Vuren;11376;VUREN
Abcoude-Baambrugge;11184;ABCOUDE-BAAMBRUGGE
Abcoude-Proostdij;10712;ABCOUDE-PROOSTDIJ
Achthoven;10141;ACHTHOVEN
Achttienhoven;10524;ACHTTIENHOVEN
Bildt (De);10168;DE BILT
Breukelen-Nijenrode;10807;BREUKELEN-NIJENRODE
Breukelen-St. Pieters;11149;BREUKELEN-SINT PIETERS
Bunnik;10820;BUNNIK
Driebergen;10777;DRIEBERGEN
Gerverskop;11336;GERVERSKOP
Haarzuilens;10737;HAARZUILENS
Houten;10230;HOUTEN
Jutphaas;10374;JUTPHAAS
Laagnieuwkoop;10305;LAAG NIEUWKOOP
Loenersloot;10208;LOENERSLOOT
Loosdrecht;10639;LOOSDRECHT
Maarssen;10191;MAARSSEN
