"achternaam","voornaam","tussenvoegsel","jaar","maand","dag","type verkiezing","districtsnaam","aantal stemmen","omvang_electoraat","zetels","drempel"
"Aalberse","P.J.M. ",,"1903","2","18","tussentijds","Almelo","3821","7865","1.0","2953.0"
"Aalberse","P.J.M. ",,"1905","6","16","algemeen","Almelo","5217","9324","1.0","3922.0"
"Aalberse","P.J.M. ",,"1909","6","11","algemeen","Almelo","4744","9087","1.0","3498.0"
"Aalberse","P.J.M. ",,"1913","6","17","algemeen","Almelo","5338","10107","1.0","3734.0"
"Akerlaken","D. van",,"1850","8","27","algemeen","Hoorn","1319","3430","2.0","1122.0"
"Akerlaken","D. van",,"1853","5","17","algemeen","Hoorn","2114","3425","2.0","1139.0"
"Akerlaken","D. van",,"1854","6","13","periodiek","Hoorn","1076","3425","1.0","583.0"
"Akerlaken","D. van",,"1858","6","8","periodiek","Hoorn","762","3679","1.0","429.0"
"Akerlaken","D. van",,"1869","6","8","periodiek","Hoorn","1342","3473","1.0","1118.0"
"Akerlaken","D. van",,"1873","6","10","periodiek","Hoorn","1338","3725","1.0","824.0"
"Albarda","B. ",,"1848","11","30","algemeen","Dokkum","341","984","1.0","323.0"
"Albarda","B. ",,"1848","11","30","algemeen","Leeuwarden","344","673","1.0","260.0"
"Albarda","B. ",,"1848","11","30","algemeen","Franeker","555","1158","1.0","421.0"
"Albarda","J.H. ",,"1863","9","29","herstemming","Dokkum","694","2551","1.0","683.0"
"Albarda","J.W. ",,"1913","6","25","herstemming","Enschede","8836","17895","1.0","8544.0"
"Albarda","J.W. ",,"1917","6","15","algemeen","Enschede","5614","19303","1.0","3223.0"
"Alphen","J. van",,"1884","11","28","tussentijds","Almelo","1202","2494","1.0","1141.0"
"Alphen","J. van",,"1886","6","15","algemeen","Almelo","1411","2786","2.0","1327.0"
"Alphen","J. van",,"1887","9","1","algemeen","Almelo","1302","2710","2.0","685.0"
"Alphen","J. van",,"1888","4","4","tussentijds","Ommen","1264","2326","1.0","1049.0"
"Alphen","J. van",,"1891","6","23","herstemming","Ommen","1159","2419","1.0","1068.0"
"Alphen","J. van",,"1894","4","10","algemeen","Ommen","604","2415","1.0","588.0"
"Alphen","J. van",,"1897","6","15","algemeen","Ommen","2977","6420","1.0","2634.0"
"Alphen","J. van",,"1901","6","14","algemeen","Ommen","2672","5997","1.0","2048.0"
"Alphen","J. van",,"1905","6","16","algemeen","Ommen","4114","8078","1.0","3595.0"
"Amorie van der Hoeven","H.A. des",,"1875","6","29","tussentijds","Breda","2148","4197","1.0","1695.0"
"Amorie van der Hoeven","H.A. des",,"1879","6","10","periodiek","Breda","1926","3893","1.0","1296.0"
"Amorie van der Hoeven","H.A. des",,"1883","6","12","periodiek","Breda","1586","4042","1.0","991.0"
"Amorie van der Hoeven","H.A. des",,"1884","10","28","algemeen","Breda","1934","4110","2.0","1179.0"
"Andreae","J. ",,"1865","11","29","herstemming","Leeuwarden","820","3063","1.0","781.0"
"Andreae","J. ",,"1866","6","12","periodiek","Leeuwarden","851","3063","1.0","802.0"
"Anemaet","S.H. ",,"1848","11","30","algemeen","Brielle","614","845","1.0","339.0"
"Anemaet","S.H. ",,"1850","8","27","algemeen","Zierikzee","480","1264","1.0","428.0"
"Anemaet","S.H. ",,"1852","6","8","periodiek","Zierikzee","378","1296","1.0","322.0"
"Anemaet","S.H. ",,"1854","6","13","periodiek","Zierikzee","487","1253","1.0","424.0"
"Anemaet","S.H. ",,"1858","6","8","periodiek","Zierikzee","668","1325","1.0","409.0"
"Anemaet","S.H. ",,"1862","6","10","periodiek","Zierikzee","530","1393","1.0","426.0"
"Ankerman","J. ",,"1909","7","23","tussentijds","Harlingen","3331","7480","1.0","2856.0"
"Ankerman","J. ",,"1913","6","17","algemeen","Harlingen","3697","7991","1.0","3561.0"
"Arnoldts","J.H. ",,"1871","4","11","tussentijds","Roermond","925","1890","1.0","791.0"
"Arnoldts","J.H. ",,"1871","6","13","periodiek","Roermond","996","1967","1.0","610.0"
"Arnoldts","J.H. ",,"1875","6","8","periodiek","Roermond","1281","2036","1.0","823.0"
"Arnoldts","J.H. ",,"1879","6","10","periodiek","Roermond","1208","2202","1.0","639.0"
"Arnoldts","J. ",,"1901","6","14","algemeen","Sittard","2052","6704","1.0","2007.0"
"Arts","A.H.A. ",,"1901","12","12","herstemming","Tilburg","2476","5592","1.0","2438.0"
"Arts","A.H.A. ",,"1905","6","16","algemeen","Tilburg","3202","6459","1.0","2272.0"
"Arts","A.H.A. ",,"1909","6","11","algemeen","Tilburg","4475","7155","1.0","2477.0"
"Arts","A.H.A. ",,"1913","6","17","algemeen","Tilburg","4290","8598","1.0","2792.0"
"Asch van Wijck","H.A.M. van",,"1853","5","31","herstemming","Utrecht","1301","2599","1.0","927.0"
