naam;recommendations;rec_ar;rec_kath;rec_lib;rec_soc
mr. B. Wichers;;0;0;0;0
W.L. de Sturler;;0;0;0;0
mr. A. Oudeman;;0;0;0;0
L.T. Jorissen;;0;0;0;0
jhr.mr. O.Q.J.J. van Swinderen;;0;0;0;0
G. Reinders;;0;0;0;0
J.G. Allershof;;0;0;0;0
dr. R. Westerhoff;(AH)*|(AH)*;0;0;1;0
mr. A. Beckeringh;;0;0;0;0
mr. P. Brongers;;0;0;0;0
mr. R. de Sitter;;0;0;0;0
J.F. Zijlker;;0;0;0;0
mr. S.C.H. Piccardt;;0;0;0;0
mr. J.C. van Slooten;;0;0;0;0
mr. G. Diephuis;;0;0;0;0
P.W. Wiertsema;;0;0;0;0
W. Waalkens;;0;0;0;0
mr. W.J. Mees;;0;0;0;0
mr. D. Bonthuis;;0;0;0;0
mr. B. Albarda;;0;0;0;0
I.T. ter Brugghen Hugenholtz;;0;0;0;0
I. da Costa;;0;0;0;0
mr. J.B. Oosting;AK;0;0;0;0
D.J.V. baron van Sytzama;;0;0;0;0
mr. J.J.L. van der Brugghen;;0;0;0;0
mr. N. van Heloma;;0;0;0;0
mr. A.F. Jongstra;;0;0;0;0
mr. U.A. Everts;;0;0;0;0
dr. P.J. Costerus;;0;0;0;0
jhr.mr. P.B.J. Vegilin van Claerbergen;;0;0;0;0
mr. J. Dirks;;0;0;0;0
mr. Ã. baron van Mackay;;0;0;0;0
T.M.W. van Asbeck;;0;0;0;0
mr. G. Groen van Prinsterer;;0;0;0;0
mr. J.T. Homan;;0;0;0;0
mr. L. graaf van Heiden Reinestein;;0;0;0;0
mr. P. van der Veen;;0;0;0;0
mr. G. Kniphorst;;0;0;0;0
mr. L. Oldenhuis Gratama;(AH)*|(AH)*|(AH)*|(AH)*|(AH)*;0;0;1;0
mr. P.W.A. Grevelink;;0;0;0;0
mr. J. Tonckens;;0;0;0;0
mr. C. Hiddingh;;0;0;0;0
jhr.mr. H.J.L. van der Wijck;;0;0;0;0
mr. W. Tonckens;;0;0;0;0
mr. H.J. Kymmell;;0;0;0;0
J.A. Meursing;;0;0;0;0
mr. L. Metman;;0;0;0;0
mr. L.N. graaf van Randwijck;;0;0;0;0
dr. M. Dassen;;0;0;0;0
A. van der Vlies;;0;0;0;0
mr. L. Kniphorst;;0;0;0;0
G. de SeriÃ¨re;;0;0;0;0
dr. B. Verver;;0;0;0;0
mr. B.W.A.E. baron van Sloet tot Oldhuis;;0;0;0;0
J. Zeehuizen;;0;0;0;0
mr. P.M. van Goens;;0;0;0;0
mr. A.J. Duymaer van Twist;;0;0;0;0
mr. J.C. Bijsterbos;;0;0;0;0
J.A. Duymaer van Twist;;0;0;0;0
mr. H. Jacobson;;0;0;0;0
mr. J. Cornelissen;;0;0;0;0
jhr. C.M. Storm van 's Gravesande;(AH)*;0;0;1;0
mr. J.R. Thorbecke;;0;0;0;0
mr. J. van Riemsdijk;;0;0;0;0
mr. D. Donker Curtius;;0;0;0;0
B.P.G. van Diggelen;;0;0;0;0
mr. H. van Sonsbeeck;;0;0;0;0
mr. M.J. de Man;;0;0;0;0
mr. B.W. Blijdenstein;;0;0;0;0
mr. J.T.H. Nedermeyer ridder van Rosenthal;;0;0;0;0
mr. W.H. Dullert;(AH)*|(AH)*|(AH)*|(AH)*;0;0;1;0
J. Backer;;0;0;0;0
mr. J. van 's Gravenweert;;0;0;0;0
E.B. van den Bosch;;0;0;0;0
mr. C.L. Vitringa;;0;0;0;0
mr. R.W. Tadema;;0;0;0;0
E. van LÃ¶ben-Sels;;0;0;0;0
mr. J.P.P. baron van Zuylen van Nijevelt;;0;0;0;0
jhr. J.A.C.A. van Nispen van Sevenaer;(DT)*;0;1;0;0
mr. A.W. Engelen;;0;0;0;0
