name_in_elec,first_date,last_date,name_in_pdc,score,real_match,b1_nummer
A. Besemer,1917-06-15,1917-06-15,G. Ritmeester,0.257371794871795,0,
A. Blom,1850-08-27,1850-08-27,A. Bouman,0.158730158730159,0,
A. Bouman,1893-04-04,1901-06-14,A. Bouman,0,1,00188
A. Braat,1917-06-15,1917-06-15,A. Braat,0,1,00191
A. Brummelkamp jr.,1888-03-06,1917-06-15,A. Brummelkamp,0.0740740740740742,1,00228
A. Brummelkamp sr.,1873-06-10,1877-06-12,A. Brummelkamp,0.0740740740740742,0,
A. Buma,1882-01-03,1888-03-06,A. Buma,0,1,00239
A. Colijn jr.,1913-06-17,1917-08-21,A. Colijn,0.102564102564103,1,00262
A. Dijkgraaf,1913-06-17,1913-06-17,A. Braat,0.25,0,
A. Gelick,1859-08-31,1859-08-31,A. Kerdijk,0.244444444444444,0,
A. Gildemeester,1883-03-27,1888-03-06,A. Gildemeester,0,1,00458
A. Goede,1891-06-09,1891-06-23,A.M. Joekes,0.234848484848485,0,
A. Harmsen jr.,1897-06-15,1897-06-15,J. Haken,0.273809523809524,0,
A. Hoogenraad,1901-06-14,1901-06-14,J. Hoogcarspel,0.258648758648759,0,
A. Kakebeeke,1848-11-30,1848-11-30,A.P.C. van Karnebeek,0.255555555555556,0,
A. Kamps,1897-06-15,1903-07-30,G.W. Kampschöer,0.219444444444444,0,
A. Kaptein,1909-06-11,1909-06-11,A. Kievit,0.221693121693122,0,
A. Knijff,1894-04-10,1901-06-27,A. Knijff,0,1,00714
A. Kool,1879-04-08,1879-06-10,A. Kool,0,1,00732
A. Kool,1879-04-08,1879-06-10,A. Kool,0,1,00732
A. Kool 2,1897-10-19,1901-06-14,A. Kool,0.0740740740740742,1,00731
A. Kool 2,1897-10-19,1901-06-14,A. Kool,0.0740740740740742,1,00731
A. Kreuzen Azn.,1905-06-16,1905-06-16,A.C. Koenen,0.288131313131313,0,
A. Moens,1866-06-12,1879-06-10,A. Moens,0,1,00931
A. Moll,1888-03-06,1890-07-29,A. Kool,0.19047619047619,0,
A. Moll,1888-03-06,1890-07-29,A. Kool,0.19047619047619,0,
A. Mutsaers,1905-06-16,1905-06-16,A.A.L. Rutgers,0.233766233766234,0,
A. Nagtzaam,1913-06-17,1913-06-17,A. Staalman,0.265151515151515,0,
A. Nierstrasz,1902-04-08,1902-04-08,B. Nierstrasz,0.0512820512820513,0,
A. Plate,1893-01-03,1909-07-23,A. Plate,0,1,01036
A. Rauwerda,1909-06-11,1909-06-11,H. Ruyter,0.262626262626263,0,
A. Roberti,1850-08-27,1850-08-27,A. Kerdijk,0.266666666666667,0,
A. Roelink,1871-01-31,1871-01-31,A. Colijn,0.174074074074074,0,
A. Roodhuyzen,1905-01-26,1917-06-15,A. Roodhuyzen,0,1,01125
A. Rueb,1868-01-22,1868-01-22,E. Rugge,0.220238095238095,0,
A. Sassen,1878-02-26,1878-02-26,E.M.J.A. Sassen,0.17037037037037,0,
A. Schucking Kool,1909-06-11,1909-06-11,J. Schokking,0.240196078431373,0,
A. Smit,1884-10-28,1905-06-16,A. Smit,0,1,01273
A. Vogelsang,1848-11-30,1860-02-13,A. Vondeling,0.222222222222222,0,
A. Wiegel,1881-02-15,1881-02-15,P. Wielinga,0.242905242905243,0,
A. Wiersinga,1894-04-10,1897-06-25,P. Wielinga,0.143939393939394,0,
A. Winkler Prins,1887-09-01,1887-10-03,J.J. Wintermans,0.279166666666667,0,
A. Zijlstra,1909-06-11,1913-06-25,A. Zijlstra,0,1,01610
A. baron van Dedem,1877-06-12,1913-06-25,A. baron van Dedem,0,1,00293
A. baron van Schimmelpenninck van der Oye,1869-06-08,1888-03-06,A. baron Schimmelpenninck van der Oye,0.14062843331136,1,01203
A. de Hullu,1917-06-15,1917-06-15,A.B. de Zeeuw,0.275058275058275,0,
A. de Vlieger,1866-10-30,1877-06-12,G. de Vries,0.218725718725719,0,
A. op de Laak,1891-06-09,1891-06-23,E. de Waal,0.325274725274725,0,
A. ten Bosch N.Jzn.,1913-06-17,1913-06-17,J. Bosscha,0.310526315789474,0,
A. ten Klooster,1897-06-15,1897-06-15,A. Kool,0.225396825396825,0,
A. ten Klooster,1897-06-15,1897-06-15,A. Kool,0.225396825396825,0,
A. van Assen,1865-11-15,1866-06-12,J. van Alphen,0.185897435897436,0,
A. van Assen 2,1891-06-09,1891-06-09,A.W. van Borssele,0.23249299719888,0,
A. van Geuns,1853-05-17,1853-05-17,A. van Gijn,0.143939393939394,0,
A. van Lennep,1869-06-08,1869-06-08,F.K. van Lennep,0.0923076923076923,0,
A. van Rijckevorsel,1848-11-30,1848-11-30,A.B.G.M. van Rijckevorsel,0.0800000000000001,1,01157
A. van Rijckevorsel Hz.,1848-11-30,1848-11-30,A.B.G.M. van Rijckevorsel,0.137971014492754,0,
A. van Weel,1850-08-27,1850-08-27,A. van Delden,0.140559440559441,0,
A. van der Flier G.Jzn.,1913-06-17,1913-06-17,A. van der Heide,0.23306856187291,0,
A. van der Heide,1904-10-04,1913-06-17,A. van der Heide,0,1,00548
A. van der Poel,1913-06-17,1913-06-17,C.J. van der Ploeg,0.132010582010582,0,
A. van der Vlies,1848-11-30,1850-08-27,A. van der Meijs,0.107142857142857,0,
A.A. Bleijenberg,1868-01-22,1868-01-22,A.W. Biewenga,0.23525641025641,0,
A.A.A. Barning,1850-08-27,1852-06-08,H.K.J. Beernink,0.252380952380952,0,
A.B. Kleerekoper,1912-10-21,1917-06-15,A.B. Kleerekoper,0,1,00702
A.B. de Zeeuw,1913-06-17,1917-12-21,A.B. de Zeeuw,0,1,01596
A.C. Bleys,1901-06-14,1901-06-14,A.N. Fleskens,0.253846153846154,0,
A.C.A. van Vuuren,1905-06-16,1917-06-15,A.C.A. van Vuuren,0,1,01494
A.C.J. Dericks,1888-04-10,1888-04-10,W.H.J. Derks,0.150793650793651,0,
A.C.M. Rijke,1913-06-17,1913-06-17,A.B.G.M. van Rijckevorsel,0.244747474747475,0,
A.D. Duys,1897-06-15,1901-06-14,A.M. Lucas,0.244444444444444,0,
A.D. Sipman,1891-06-09,1891-06-09,H. Spiekman,0.223484848484849,0,
A.D. de Marez Oyens,1897-06-15,1897-06-15,A.B. de Zeeuw,0.278002699055331,0,
A.D. van der Gon Netscher,1864-06-14,1864-06-14,M. van der Goes van Naters,0.193589743589744,0,
A.D.P.V. van LÃ¶ben Sels,1897-06-15,1901-08-20,A.D.P.V. van Löben Sels,0.0422705314009661,1,00832
A.E. Reuther,1883-06-12,1888-03-06,A.E. Reuther,0,1,01103
A.E. van Kempen,1897-06-15,1901-06-14,A.E. van Kempen,0,1,00678
A.F.C.M. Raupp,1901-06-14,1901-06-14,A.F.X. Luyben,0.320512820512821,0,
A.F.H. Hoffmann,1852-11-09,1852-11-09,J.H.A. Logemann,0.223232323232323,0,
A.G. Snijders,1903-07-30,1903-07-30,J.H.C. Spijkers,0.235897435897436,0,
A.G.J. Mastboom,1905-06-16,1905-06-16,B.G. Peereboom,0.298412698412698,0,
A.H. Gerhard,1891-06-09,1917-06-22,A.H. Gerhard,0,1,00447
A.H. Gijzels,1913-06-17,1913-06-17,A.H.J. Engels,0.239316239316239,0,
A.H. Jannink,1886-06-15,1886-06-15,G. Jannink,0.116666666666667,0,
A.H.A. Arts,1897-06-15,1917-06-15,A.H.A. Arts,0,1,00034
A.H.J. Engels,1905-06-16,1917-06-15,A.H.J. Engels,0,1,00385
A.J. Thomassen Ã Thuessink van der Hoop,1852-06-08,1852-06-08,A.J. Thomassen à Thuessink van der Hoop van Slochteren,0.107312440645774,1,01357
A.J.C.J.S. Bergsma,1901-06-14,1901-06-14,A.J.J.M. Mes,0.237037037037037,0,
A.J.H. van der Toorn,1873-06-10,1873-06-10,H.J. van den Born,0.18921568627451,0,
A.J.T. Hofman,1888-03-06,1888-03-06,J.H.A. Logemann,0.215928515928516,0,
A.L. van Hasselt,1897-06-15,1897-08-17,G.A. van Hamel,0.158730158730159,0,
A.L. van Tienen,1878-02-26,1878-02-26,G. van Tienhoven,0.15,0,
A.L.A. Diepen,1891-06-09,1891-06-09,G.A. Diepenhorst,0.23525641025641,0,
A.L.E. Roberti,1880-02-03,1881-06-14,A.L.W. Seyffardt,0.264880952380952,0,
A.L.G.H.M. Coenen,1909-06-11,1909-06-11,A.C. Koenen,0.2174688057041,0,
A.L.J. van Waesberghe,1901-12-03,1901-12-12,J.H. van Maarseveen,0.246449456975773,0,
A.L.W. Seijffardt,1888-03-06,1897-06-15,A.L.W. Seyffardt,0.0600490196078431,1,01242
A.M. Hoogendijk Ez.,1901-07-30,1901-07-30,A.W. Heijkoop,0.282542019384125,0,
A.M. Prins,1888-03-06,1888-03-06,M.A. Brants,0.199242424242424,0,
A.M. Schagen van Leeuwen,1877-06-12,1881-06-14,A.M. Schagen van Leeuwen,0,1,01183
A.M.J. Henrichs,1880-01-13,1880-01-13,L.M. Hermans,0.253703703703704,0,
A.N. Fleskens,1910-07-12,1917-06-15,A.N. Fleskens,0,1,00408
A.N. de Lint,1894-04-10,1894-04-10,A.P. de Lange,0.185897435897436,0,
A.N.J. Fabius,1894-04-10,1901-06-14,A.H.J.L. Fiévez,0.283760683760684,0,
