Unnamed..0,Name,Parliament,b1_nummer,achternaam,voorletters,voorna_a_m_en,roepnaam,prepositie,geslacht,partij_en_fractie_s,begin_periode,einde_periode
0,Dirk van Akerlaken,1871-1875,00009,Akerlaken,D.,Dirk,NA,van,m,'pragmatisch' liberaal;liberaal,1850-10-07,1874-09-20
1,Willem Adriaan Bergsma,1871-1875,00102,Bergsma,W.A.,Willem Adriaan,NA,NA,m,liberaal;Kappeynianen,1871-09-18,1884-10-10
2,Sybrand van Beyma thoe Kingma,1871-1875,00110,Beyma thoe Kingma,S.W.H.A.,Sybrand Willem Hendrik Adriaan,NA,van,m,'pragmatisch' liberaal;liberaal,1863-11-13,1873-09-14
3,Charles Antoine de Bieberstein Rogalla Zawadsky,1871-1875,00113,Bieberstein Rogalla Zawadsky,Ch.A.,Charles Antoine,NA,baron de,m,Thorbeckiaan;liberaal;conservatief (katholiek),1858-09-20,1880-10-30
4,François Willem Cornelis Blom,1871-1875,00130,Blom,F.W.C.,François Willem Cornelis,NA,NA,m,Puttianen;liberaal,1862-04-24,1876-02-09
5,Barend Brouwer,1871-1875,00215,Brouwer,B.,Barend,NA,NA,m,liberaal,1871-06-24,1875-09-19
6,Jacob Leonard de Bruyn Kops,1871-1875,00232,Bruijn Kops,J.L.,Jacob Leonard,NA,de,m,liberaal;Kappeynianen;Liberale Unie,1868-02-25,1887-08-16
7,Eppo Cremers,1871-1875,00280,Cremers,E.J.J.B.,Epimachus Jacobus Johannes Baptista,Eppo,NA,m,liberaal;Liberale Unie,1869-12-13,1891-01-17
8,Albertus van Delden,1871-1875,00299,Delden,A.,Albertus,NA,van,m,Thorbeckiaan;liberaal;Liberale Unie;oud- of vrije liberalen,1864-09-19,1898-11-07
9,Cornelis Fock,1871-1875,00409,Fock,C.,Cornelis,NA,NA,m,liberaal,1871-09-18,1871-11-29
10,Isaäc Dignus Fransen van de Putte,1871-1875,00421,Fransen van de Putte,I.D.,Isaäc Dignus,NA,NA,m,Puttianen;liberaal,1862-04-24,1880-08-02
11,Willem Theodore Gevers Deynoot,1871-1875,00455,Gevers Deynoot,W.Th.,Willem Theodore,NA,NA,m,Thorbeckiaan;liberaal,1852-09-20,1879-03-24
12,Sybrand Hingst,1871-1875,00583,Hingst,S.,Sybrand,NA,NA,m,liberaal;Kappeynianen,1866-11-19,1886-05-17
13,Samuel van Houten,1871-1875,00607,Houten,S.,Samuel,Sam,van,m,liberaal,1869-02-24,1894-03-19
14,Willem Jonckbloet,1871-1875,00646,Jonckbloet,W.J.A.,Willem Jozef Andreas,NA,NA,m,Puttianen;liberaal,1864-09-19,1877-09-24
15,Klaas Harshoorn de Jong,1871-1875,00650,Jong,K.H.,Klaas Harshoorn,Klaas,de,m,liberaal;Kappeynianen,1871-09-18,1886-05-17
16,Jan Kappeyne van de Coppello,1871-1875,00674,Kappeyne van de Coppello,J.,Johannes,Jan,NA,m,Puttianen;liberaal,1862-09-15,1877-11-02
17,Michiel Johan de Lange,1871-1875,00784,Lange,M.J.,Michiel Johan,NA,de,m,liberaal,1869-09-20,1877-09-16
18,Donald Jacob Mackay,1871-1875,00863,Mackay,D.J.,Donald Jacob,Donald,baron,m,liberaal,1871-09-18,1877-03-21
19,Charles Jean François Mirandolle,1871-1875,00930,Mirandolle,Ch.J.F.,Charles Jean François,NA,NA,m,liberaal;Kappeynianen,1869-02-20,1884-06-20
20,Antony Moens,1871-1875,00931,Moens,A.,Antony,NA,NA,m,liberaal;Kappeynianen,1866-09-20,1880-10-30
21,Albertus van Naamen van Eemnes,1871-1875,00954,Naamen van Eemnes,A.,Albertus,NA,van,m,liberaal,1866-11-19,1879-09-14
22,Lucas Oldenhuis Gratama,1871-1875,00998,Oldenhuis Gratama,L.,Lucas,NA,NA,m,liberaal,1867-10-14,1886-02-19
23,Willem Hubert Pyls,1871-1875,01065,Pyls,W.H.,Willem Hubert,Hubert,NA,m,liberaal,1869-09-21,1873-09-14
24,Karel Anton Rombach,1871-1875,01121,Rombach,K.A.,Karel Anton,NA,NA,m,Thorbeckiaan;liberaal;Kappeynianen,1869-09-21,1884-10-10
25,Jan Karel Hendrik de Roo van Alderwerelt,1871-1875,01123,Roo van Alderwerelt,J.K.H.,Jan Karel Hendrik,NA,de,m,liberaal,1866-11-19,1878-12-28
26,Derk de Ruiter Zijlker,1871-1875,01142,Ruiter Zijlker,D.,Derk,NA,de,m,liberaal;Liberale Unie,1868-04-21,1891-09-14
27,Jan Willem Hendrik Rutgers van Rozenburg,1871-1875,01148,Rutgers van Rozenburg,J.W.H.,Jan Willem Hendrik,NA,NA,m,liberaal;oud- of vrije liberalen,1869-09-21,1897-09-20
28,Johannes Albertus Sandberg,1871-1875,01168,Sandberg,J.A.,Johannes Albertus,NA,NA,m,liberaal,1869-09-20,1881-09-18
29,Hendrik Jan Smidt,1871-1875,01272,Smidt,H.J.,Hendrik Jan,NA,NA,m,liberaal;Liberale Unie,1871-03-03,1891-08-20
30,Thomas Joannes Stieltjes,1871-1875,01303,Stieltjes,Th.J.,Thomas Johannes,NA,NA,m,liberaal,1866-11-22,1878-06-22
31,Johannes Tak van Poortvliet,1871-1875,01339,Tak van Poortvliet,J.P.R.,Johannes Pieter Roetert,NA,NA,m,liberaal;Kappeynianen;Liberale Unie;vooruitstrevende kamerclub;vrijzinnig-democratische kamerclub,1870-10-21,1901-01-23
32,Schelte Wybenga,1871-1875,01572,Wybenga,S.,Schelte,NA,NA,m,conservatief;'pragmatisch' liberaal;liberaal,1855-06-28,1886-09-08
