politician;vote;law;date;house
Nierstrasz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Heydenrijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Wassenaer van Catwijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Jonckbloet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Sypesteyn;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Tak van Poortvliet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Rombach;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Rutgers van Rozenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
de BruynKops;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Westerhoff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Taets van Amerongen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Foreest;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Reenen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Pyls;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Hoffman;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Storm van 's Gravesande;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Van Loon;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Sandberg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Kien;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
de Bieberstein  Rogalla Zawadsky;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Kerkwijk;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Borret;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Saaymans Vader;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Mackay;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Godefroi;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Nispen van Sevenaer;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Verheijen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Hardenbroek van Lockhorst;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Heemskerk Azn.;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van den Heuvel;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Naamen van Eemnes;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Begram;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Bots;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Smitz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Kappeyne van de Coppello;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Lynden van Sandenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Viruly Verbrugge;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Eck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Kuyk;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Wintgens;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Arnoldts;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Zinnicq Bergmann;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van der Doos de Willebois;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Haffmans;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Luyben;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
de Brauw;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
C. van Nispen tot Sevenaer;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van der Maesen de Sombreff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Zuylen van Nyevelt;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Dumbar;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
's Jacob;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Bredius;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Oldenhuis Gratama;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Idzerda;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Hingst;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Houten;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Mirandolle;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Blom;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
de Jong;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Cremers;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
de Roo van Alderwerelt;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Beyma thoe Kingma;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Gevers Deynoot;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
de Ruiter Zylker;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Dam;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van Delden;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
du Marchie van Voorthuysen;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Lenting;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Wybenga;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Fransen van de Putte;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Bergsma;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Smidt;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
de Lange;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
van der Linden;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Moens;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Heemskerk Bzn.;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Stieltjes;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Dullert;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer
Plate;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Smit;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Goekoop;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Roessingh;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Ferf;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Houten;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van der Feltz;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Gijn;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
W.H. de Beaufort;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Lucasse;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Pijnacker Hordijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Rutgers van Rozenburg;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Cremer;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Delden;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
A. baron van Dedem;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Rink;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Levy;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Guyot;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Schimmelpenninck van der Oye;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van der Kaay;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Tydeman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Conrad;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Hartogh;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Ae. baron Mackay;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Roijaards van den Ham;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Goeman Borgesius;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Kerdijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Lieftinck;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Bahlmann;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Kolkman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Schepel;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Kielstra;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Veegens;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Valette;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Hintzen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Mees;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Roell;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Land;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Alphen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Schaepman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Tijdens;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
de Kanter;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
de Meijier;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Beuningen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Berckel;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Bool;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Smeenge;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Kerkwijk;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Zijp;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Houwing;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Heldt;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Hennequin;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Velzen;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Viruly Verbrugge;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Gleichman;1;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Pyttersen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Brantsen van de Zijp;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Seret;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van der Borch van Verwolde;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Travaglino;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Donner;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Bevers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Walter;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Lambrechts;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van der Schrieck;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Keuchenius;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van der Kun;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Smits van Oijen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
T. Mackay;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van de Velde;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Reekers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Poelman;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Dobbelmann;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Gerritsen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Farncombe Sanders;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Heemskerk;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Harte van Tecklenburg;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
de Ras;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
G.W. baron van Dedem;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Karnebeek;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Vermeulen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Löben Sels;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van den Berch van Heemstede;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Mutsaers;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Lintelo baron de Geer van Jutphaas;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Vlijmen;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
van Bylandt;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Haffmans;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
Beelaerts van Blokland;0;Inkomstenbelasting 1893;1893-06-23;Tweede Kamer
K. ter Laan;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
J.E.W. Duijs;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Gerhard;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Nierstrasz;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van Vliet;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Roodenburg;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Helsdingen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Rink;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Juten;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van Wijnbergen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Teenstra;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Vliegen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Hugenholtz;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Patijn;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Aalberse;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Heeres;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Eerdmans;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van den Berch van Heemstede;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Jannink;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Ruys de Beerenbrouck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Beumer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van Deventer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
de Savornin Lohman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Dolk;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Roodhuyzen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Fock;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
de Muralt;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van Raalte;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Nolens;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van Vollenhoven;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Bos;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Schim van der Loeff;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
J.W.J.C.M. van Nispen tot Sevenaer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Hubrecht;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
de Jong;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
O.F.A.M. van Nispen tot Sevenaer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Marchant;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
de Beaufort;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Rutgers;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Fleskens;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Duynstee;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Janssen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
de Meester;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Boissevain;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Otto;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Gerretson;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Tydeman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
van Wichen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Smeenge;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Lieftinck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Schimmelpenninck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
Visser van IJzendcorn;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer
