politician;vote;law;house;date
Kleerekoper;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
de Meester;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Helsdingen;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
de Jong;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
van de Velde;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Kolkman;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
van Leeuwen;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
D.A.P.N. Koolen;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
van Wijnbergen;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Schaper;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Jannink;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
van der Voort van Zijp;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Ruys de Beerenbrouck;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Nolens;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Marchant;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
van Veen;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Knobel;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Albarda;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Heeres;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Patijn;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Loeff;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Ankerman;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Hugenholtz;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Brummelkamp;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Koster;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Rink;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Fock;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Bongaerts;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
de  Geer;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
van  Beresteyn;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Duynstee;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
van Raalte;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Roodenburg;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
van Rijckevorsel;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
Beumer;0;Amendement Presentiegeld 1916;Tweede Kamer;1916-11-17
