b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct
00968;Nierstrasz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nierstrasz;fiscal;Delft;12612;12518;2356;0,458851779087535;0,4554242533570220;0,08571351357741686;223825;6165;15251;31689;3503;74238;0,289582381431051805;3,20113314447592e-02;0,67840628712418893
00578;Heydenrijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heydenrijck;fiscal;Nijmegen;13594;8636;7991;0,449819661824559;0,2857573032244631;0,26441234586443557;150547;5276;7162;84760;121;18061;0,823376270132696098;1,17541916807523e-03;0,17544831069922870
01509;van Wassenaer van Catwijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wassenaer van Catwijck;fiscal;Leiden;13055;18243;3798;0,371979712787782;0,5197973172425127;0,10821471098149177;231177;4868;10095;32235;6876;67172;0,303294035734783529;6,46952005494764e-02;0,63201076371574005
00646;Jonckbloet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jonckbloet;fiscal;Winschoten;10327;7298;5365;0,449195302305350;0,3174361639480806;0,23335454993733035;55402;1338;2522;4113;3995;30244;0,107243429286608266;1,04166666666667e-01;0,78858990404672502
01334;van Sypesteyn;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Sypesteyn;fiscal;'s-Gravenhage;18119;37326;3451;0,307643982613420;0,6337578957517818;0,05859387461994655;486360;1189;4526;36721;1250;62172;0,366685639535464292;1,24821505247496e-02;0,62083220993978605
01339;Tak van Poortvliet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Tak van Poortvliet;fiscal;Middelburg;3592;7107;546;0,319430858159182;0,6319962757569837;0,04855080546432261;179721;11808;16126;31729;1812;55500;0,356341460675419164;2,03501757617277e-02;0,62330836356285302
01121;Rombach;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rombach;fiscal;Brielle;0;0;0;NA;NA;NA;34890;2279;4250;1093;633;17905;0,055677245173450157;3,22449187509551e-02;0,91207783607559467
01148;Rutgers van Rozenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rutgers van Rozenburg;fiscal;Haarlemmermeer;7778;5167;4785;0,438691483361534;0,2914197493873582;0,26987044357347773;52093;850;3233;10766;1228;15234;0,395401792272660479;4,51006317026590e-02;0,55949757602468042
00232;de BruynKops;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bruijn Kops;fiscal;Alkmaar;8752;13420;2626;0,352931688039358;0,5411649732128598;0,10589181879499804;192005;4620;17879;34155;1466;63147;0,345810383930017839;1,48428640855338e-02;0,63934675198444846
01527;Westerhoff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Westerhoff;fiscal;Appingedam;27626;16315;19462;0,435720707222056;0,2573204403601682;0,30695372882096311;181239;7554;10258;4713;10675;88014;0,045579389180093230;1,03237848397516e-01;0,85118276242239033
01337;Taets van Amerongen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Taets van Amerongen tot Natewisch;fiscal;Leiden;13055;18243;3798;0,371979712787782;0,5197973172425127;0,10821471098149177;231177;4868;10095;32235;6876;67172;0,303294035734783529;6,46952005494764e-02;0,63201076371574005
