b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct;party_granular;party_simple;birth_date;start_date;tenure;death_date
00968;Nierstrasz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nierstrasz;fiscal;Delft;12612;12518;2356;0,458851779087535;0,4554242533570220;0,08571351357741686;223825;6165;15251;31689;3503;74238;0,28958238143105181;3,20113314447592e-02;0,67840628712418893;protestant;confessional;1824-04-20;1868-02-25;1528;1878-12-09
00578;Heydenrijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heydenrijck;fiscal;Nijmegen;13594;8636;7991;0,449819661824559;0,2857573032244631;0,26441234586443557;150547;5276;7162;84760;121;18061;0,82337627013269621;1,17541916807523e-03;0,17544831069922870;liberal;liberal;1832-01-13;1862-07-09;3585;1911-09-06
01509;van Wassenaer van Catwijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wassenaer van Catwijck;fiscal;Leiden;13055;18243;3798;0,371979712787782;0,5197973172425127;0,10821471098149175;231177;4868;10095;32235;6876;67172;0,30329403573478353;6,46952005494764e-02;0,63201076371574005;protestant;confessional;1823-12-26;1866-09-21;2050;1887-11-19
00646;Jonckbloet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jonckbloet;fiscal;Winschoten;10327;7298;5365;0,449195302305350;0,3174361639480806;0,23335454993733035;55402;1338;2522;4113;3995;30244;0,10724342928660827;1,04166666666667e-01;0,78858990404672491;liberal;liberal;1817-07-06;1864-09-19;2782;1885-10-19
01334;van Sypesteyn;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Sypesteyn;fiscal;'s-Gravenhage;18119;37326;3451;0,307643982613420;0,6337578957517818;0,05859387461994655;486360;1189;4526;36721;1250;62172;0,36668563953546435;1,24821505247496e-02;0,62083220993978605;protestant;confessional;1823-03-19;1867-09-19;1687;1892-09-24
01339;Tak van Poortvliet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Tak van Poortvliet;fiscal;Middelburg;3592;7107;546;0,319430858159182;0,6319962757569837;0,04855080546432261;179721;11808;16126;31729;1812;55500;0,35634146067541916;2,03501757617277e-02;0,62330836356285302;liberal;liberal;1839-06-21;1865-03-15;2605;1904-01-26
01121;Rombach;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rombach;fiscal;Brielle;0;0;0;NA;NA;NA;34890;2279;4250;1093;633;17905;0,05567724517345015;3,22449187509551e-02;0,91207783607559467;liberal;liberal;1812-05-24;1869-09-21;954;1891-04-24
01148;Rutgers van Rozenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rutgers van Rozenburg;fiscal;Haarlemmermeer;7778;5167;4785;0,438691483361534;0,2914197493873582;0,26987044357347773;52093;850;3233;10766;1228;15234;0,39540179227266048;4,51006317026590e-02;0,55949757602468042;liberal;liberal;1830-08-10;1869-09-21;954;1902-10-31
00232;de BruynKops;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bruijn Kops;fiscal;Alkmaar;8752;13420;2626;0,352931688039358;0,5411649732128598;0,10589181879499804;192005;4620;17879;34155;1466;63147;0,34581038393001784;1,48428640855338e-02;0,63934675198444846;liberal;liberal;1822-12-22;1868-02-25;1528;1887-10-01
01527;Westerhoff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Westerhoff;fiscal;Appingedam;27626;16315;19462;0,435720707222056;0,2573204403601682;0,30695372882096311;181239;7554;10258;4713;10675;88014;0,04557938918009323;1,03237848397516e-01;0,85118276242239044;liberal;liberal;1801-03-14;1849-02-13;8479;1874-03-25
