b1_nummer;politician;vote;law;date;house;pdc_naam;category
00968;Nierstrasz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nierstrasz;fiscal
00578;Heydenrijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heydenrijck;fiscal
01509;van Wassenaer van Catwijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wassenaer van Catwijck;fiscal
00646;Jonckbloet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jonckbloet;fiscal
01334;van Sypesteyn;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Sypesteyn;fiscal
01339;Tak van Poortvliet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Tak van Poortvliet;fiscal
01121;Rombach;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rombach;fiscal
01148;Rutgers van Rozenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rutgers van Rozenburg;fiscal
00232;de BruynKops;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bruijn Kops;fiscal
01527;Westerhoff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Westerhoff;fiscal
01337;Taets van Amerongen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Taets van Amerongen tot Natewisch;fiscal
00416;van Foreest;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Foreest;fiscal
01092;van Reenen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Reenen;fiscal
01065;Pyls;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Pyls;fiscal
00589;Hoffman;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hoffmann;fiscal
01316;Storm van 's Gravesande;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Storm van 's-Gravesande;fiscal
00841;Van Loon;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Loon;fiscal
01168;Sandberg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Sandberg;fiscal
00697;Kien;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kien;fiscal
00113;de Bieberstein  Rogalla Zawadsky;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bieberstein Rogalla Zawadsky;fiscal
00684;van Kerkwijk;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kerkwijk;fiscal
00168;Borret;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Borret;fiscal
01166;Saaymans Vader;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Saaymans Vader;fiscal
00863;Mackay;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Mackay;fiscal
00464;Godefroi;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Godefroi;fiscal
00974;van Nispen van Sevenaer;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nispen van Sevenaer;fiscal
01414;Verheijen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Verheijen;fiscal
00519;van Hardenbroek van Lockhorst;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hardenbroek van Lockhorst;fiscal
00537;Heemskerk Azn.;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heemskerk Azn.;fiscal
00573;van den Heuvel;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heuvel;fiscal
00954;van Naamen van Eemnes;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Naamen van Eemnes;fiscal
00082;Begram;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Begram;fiscal
00186;Bots;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bots;fiscal
01281;Smitz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Smitz;fiscal
00674;Kappeyne van de Coppello;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kappeyne van de Coppello;fiscal
00857;van Lynden van Sandenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lynden van Sandenburg;fiscal
01437;Viruly Verbrugge;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Viruly Verbrugge;fiscal
00368;van Eck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Eck;fiscal
00765;van Kuyk;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kuyk;fiscal
01557;Wintgens;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wintgens;fiscal
