b1_nummer;politician;vote;law;date;house;pdc_naam;category;district
00968;Nierstrasz;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nierstrasz;fiscal;Delft
00578;Heydenrijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heydenrijck;fiscal;Nijmegen
01509;van Wassenaer van Catwijck;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wassenaer van Catwijck;fiscal;Leiden
00646;Jonckbloet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Jonckbloet;fiscal;Winschoten
01334;van Sypesteyn;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Sypesteyn;fiscal;'s-Gravenhage
01339;Tak van Poortvliet;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Tak van Poortvliet;fiscal;Middelburg
01121;Rombach;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rombach;fiscal;Brielle
01148;Rutgers van Rozenburg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Rutgers van Rozenburg;fiscal;Haarlemmermeer
00232;de BruynKops;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bruijn Kops;fiscal;Alkmaar
01527;Westerhoff;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Westerhoff;fiscal;Appingedam
01337;Taets van Amerongen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Taets van Amerongen tot Natewisch;fiscal;Leiden
00416;van Foreest;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Foreest;fiscal;Alkmaar
01092;van Reenen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Reenen;fiscal;Amsterdam
01065;Pyls;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Pyls;fiscal;Roermond
00589;Hoffman;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hoffmann;fiscal;Gouda
01316;Storm van 's Gravesande;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Storm van 's-Gravesande;fiscal;Steenwijk
00841;Van Loon;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Loon;fiscal;Amersfoort
01168;Sandberg;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Sandberg;fiscal;Zwolle
00697;Kien;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kien;fiscal;Utrecht
00113;de Bieberstein  Rogalla Zawadsky;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bieberstein Rogalla Zawadsky;fiscal;Maastricht
00684;van Kerkwijk;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Kerkwijk;fiscal;Zierikzee
00168;Borret;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Borret;fiscal;Tilburg
01166;Saaymans Vader;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Saaymans Vader;fiscal;Goes
00863;Mackay;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Mackay;fiscal;Tiel
00464;Godefroi;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Godefroi;fiscal;Amsterdam
00974;van Nispen van Sevenaer;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Nispen van Sevenaer;fiscal;Nijmegen
01414;Verheijen;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Verheijen;fiscal;Tilburg
00519;van Hardenbroek van Lockhorst;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Hardenbroek van Lockhorst;fiscal;Amersfoort
00537;Heemskerk Azn.;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heemskerk Azn.;fiscal;Gorinchem
00573;van den Heuvel;0;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Heuvel;fiscal;Boxmeer
